Date,Open,High,Low,Close,Adj Close,Volume
2/16/2023,43.15,43.18,42.77,42.95,39.07,"17,832,000"
2/15/2023,43.42,43.61,43.11,43.32,39.41,"18,994,700"
2/14/2023,44.09,44.2,43.58,43.72,39.78,"17,506,900"
2/13/2023,43.68,44.01,43.51,43.99,40.02,"17,878,000"
2/10/2023,43.5,43.98,43.26,43.88,39.92,"18,619,600"
2/9/2023,44.12,44.33,43.24,43.34,39.43,"20,809,200"
2/8/2023,43.55,44.1,43.53,43.98,40.01,"19,362,300"
2/7/2023,43.82,43.9,43.25,43.59,39.66,"22,999,500"
2/6/2023,44.19,44.3,43.73,43.76,39.81,"18,071,200"
2/3/2023,44.36,44.39,43.88,44.06,40.08,"23,742,000"
2/2/2023,43.63,44.46,43.5,44.34,40.34,"35,279,200"
2/1/2023,43.91,44.18,43.41,43.97,40,"24,482,300"
1/31/2023,43,44.28,42.7,44.16,40.18,"49,722,500"
1/30/2023,43.79,44.14,43.4,43.55,39.62,"24,402,200"
1/27/2023,44.22,44.34,43.78,43.79,39.84,"23,798,600"
1/26/2023,0.41 Dividend,,,,,
1/26/2023,44.2,44.3,43.61,44.25,40.26,"38,465,500"
1/25/2023,45.03,45.11,44.59,45.07,40.63,"20,828,000"
1/24/2023,44.92,44.95,44.15,44.71,40.31,"18,853,100"
1/23/2023,45.04,45.32,44.82,44.98,40.55,"19,398,600"
1/20/2023,45.28,45.43,44.73,45.11,40.67,"25,197,600"
1/19/2023,44.72,45.27,44.64,44.96,40.53,"26,614,900"
1/18/2023,45.55,45.85,44.97,45,40.57,"33,835,000"
1/17/2023,46.54,46.74,45.71,46.08,41.54,"29,391,400"
1/13/2023,47.5,48.16,47.49,47.85,43.14,"18,737,500"
1/12/2023,47.27,47.72,46.58,47.71,43.01,"23,345,300"
1/11/2023,47.7,47.74,46.86,47.45,42.78,"23,022,200"
1/10/2023,48.35,48.47,47.38,47.62,42.93,"29,212,000"
1/9/2023,50.05,50.26,48.31,48.39,43.62,"30,839,100"
1/6/2023,49.98,51.6,49.56,50.92,45.9,"29,635,900"
1/5/2023,49.73,49.99,48.92,49.66,44.77,"20,057,400"
1/4/2023,50.29,50.63,49.52,50.13,45.19,"21,808,400"
1/3/2023,51.01,51.33,50.82,51.26,46.21,"15,603,800"
12/30/2022,51.29,51.4,50.75,51.24,46.19,"11,396,200"
12/29/2022,51.02,51.67,50.99,51.33,46.27,"8,971,300"
12/28/2022,51.05,51.39,50.75,50.8,45.8,"10,053,900"
12/27/2022,51.86,51.93,51.05,51.13,46.09,"12,033,800"
12/23/2022,51.56,51.95,51.24,51.83,46.72,"10,666,500"
12/22/2022,51.41,51.7,50.95,51.64,46.55,"14,822,300"
12/21/2022,51.61,52.16,51.2,51.66,46.57,"12,925,000"
12/20/2022,51.21,51.51,50.84,51.32,46.26,"12,433,800"
12/19/2022,51.52,51.81,50.7,51.36,46.3,"16,081,900"
12/16/2022,53.01,53.14,51.4,51.4,46.34,"65,689,500"
12/15/2022,54.07,54.43,53.4,53.61,48.33,"21,627,100"
12/14/2022,53.14,54.93,52.9,54.48,49.11,"36,260,300"
12/13/2022,53.1,54.04,52.88,53.07,47.84,"29,461,800"
